n_designs,n_draws,n_seeds,nfe,n_borg_runs,search_t_eval_s,search_ranks_per_node,search_nodes,search_islands,search_workers,search_efficiency,search_hr_per_run,search_su,etest_n_theta,etest_r,etest_l_test,etest_scenarios,reeval_policies,reeval_sims,reeval_t_eval_s,reeval_ranks_per_node,reeval_cost_basis,reeval_su,total_su,frac_of_allocation
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,1000,20,10,20000,600,600000,43.370999999999995,128,measured_full,8031.666666666665,107961.90275543196,0.10796190275543197
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,1000,20,30,20000,600,600000,126.35900000000001,128,measured_full,23399.814814814814,123330.05090358011,0.12333005090358011
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,200728.80551086392,0.20072880551086392
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,202401.76847382687,0.20240176847382688
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,201466.80551086392,0.20146680551086393
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,204540.43514049356,0.20454043514049355
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,202031.30551086392,0.20203130551086393
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,500,10,30,5000,600,300000,68.61500000000001,128,measured_full,6353.240740740742,206213.7129182713,0.2062137129182713
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,500,20,10,10000,600,300000,43.370999999999995,128,measured_full,4015.8333333333326,203876.30551086392,0.20387630551086391
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,500,20,30,10000,600,300000,126.35900000000001,128,measured_full,11699.907407407407,211560.379584938,0.211560379584938
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,1000,10,10,10000,600,600000,23.445,128,measured_full,4341.666666666667,204202.13884419724,0.20420213884419725
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,212566.95365901207,0.21256695365901207
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,1000,20,10,20000,600,600000,43.370999999999995,128,measured_full,8031.666666666665,207892.13884419724,0.20789213884419724
6,5,2,50000,60,173.8135,128,4,2,509,0.729,6.505874745362323,199860.47217753058,1000,20,30,20000,600,600000,126.35900000000001,128,measured_full,23399.814814814814,223260.28699234538,0.22326028699234537
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,400589.2776883945,0.4005892776883945
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,402262.24065135745,0.40226224065135746
6,5,2,100000,60,173.8135,128,4,2,509,0.729,13.011749490724647,399720.94435506116,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,401327.2776883945,0.4013272776883945
